work_id,rank,title,writer,form_of_publishment,retrieved_date,platform,filter,synopsis_summary
W011,11,어느 날 엄마를 주웠다,도도,Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"“엄마!”

도둑질을 들켜 죽도록 매질을 당하던 순간.
일곱 살 이반은 제 앞에 선 여자를 한눈에 알아보았다.

그녀가 불쌍한 것들에게 손을 내밀며 자신의 고상함을 과시하는 부류라는 것을.
그러니 나 대신 돈을 치러 주겠지.

“죄송해요, 엄마. 두 번 다신 안 그럴게요.”

이반은 온 힘을 다해 여자에게 매달렸고,
여자는 예상대로 빵값을 내주었다.
그러니 이젠 두 번 다신 남의 것을 훔치지 말라 같잖은 충고나 늘어놓을 줄 알았더니.

“그만 집에 가자, 이반.”

마차를 타고 집까지 따라온 여자는 집을 깨끗이 치우고 밥까지 차려 주었다.

“왜 집 치웠어요? 밥은 왜 하고요?”
“말했잖아. 엄마가 잘해 보겠다고.”

설마…….
이반은 여자를 찬찬히 훑어보았다.

“이반?”
“…….”

“……엄마한테 화났니?”

이반의 입꼬리가 잘게 떨렸다.
하필. 제가 붙잡은 게 미친 여자일 줄이야."
W012,12,악녀는 백만장자 해결사,정연,Completed (완결),2026. 04. 22,Kakaopage,Montly Ranking,"제국에서도 손꼽히는 대부호, 로젠 공작가에는 유일한 오점이 있다.
바로 제국 최악의 악녀 아리스티나가 하필 공작의 외동딸이라는 점!

결국 황태자의 약혼녀 독살 미수로 자택에 유폐되고,
정체불명의 범인에게 살해당한 순간, '내'가 그녀의 몸에 빙의한다.
다행히 누명은 벗었지만 그보다 중요한 건….

'아리스티나를 죽인 범인이 누구지?'

길 가다 돌을 맞아도 이상하지 않은 인성 덕분에 
도처에 깔린 모두가 예비 살인범으로 의심되는 상황.

'절대 두 번 죽을 순 없지!'

딸 때문에 평생 속 썩어온 병약한 공작의 신뢰를 회복하고,
불순한 의도로 주변에 선행을 저지르며 다녔더니.

""아리스티나! 우리에겐 이 무도회의 분위기를 띄울 의무가 있어!""
풀어 헤쳐진 앞섶을 여미지도 않고, 덩치 큰 충견처럼 구는 2황자부터.

""머리 풀고 날뛰어서 아가씨들을 쫓아 주겠다면서요? 지금 바로 그게 필요합니다.""
예의 바르고 정중한 가면을 내 앞에서만 무너뜨리는 황태자와.

""그날 무도회에서 나를 버리고 누구한테 간 거지?""
종교인답지 않은 까질한 성질에, 파면 팔수록 비밀만 나오는 신성 교단의 수장까지.

가장 유력한 용의자 후보들이 내 쪽으로 돌아서도 너무 돌아섰다.
하지만 평화도 잠시, 드디어 진짜 살인범이 정체를 드러내는데…."
W013,13,악당을 납치한 5살 스파이입니다,바다C,Completed (완결),2026. 04. 22,Kakaopage,Montly Ranking,"포즈 가문이 키운 5살짜리 스파이, 아이샤.

“첫 번째 임무다. 칼립스 크로스트 공작의 행방불명된 딸이 되거라.”

크로스트 공작가를 무너뜨리기 위해 투입된 그녀의 몸속에…
인생 2회차인 내가 들어왔다.
가짜 딸 행세나 하다 원작처럼 죽을 수는 없지!
스파이에서 벗어나고자 진짜 딸의 행방을 알려 주고, 다방면으로 아군이라는 걸 인정받는 나날.
포즈 가문으로 돌아가지 않으려고 양아버지도 골라 놨다.

“제 능력이라면 S급 용병이 될 수도 있어요. 저라는 황금 씨앗을 키워 보시면 어떨까요?”

크로스트 저택에서 가장 친근해진 정원사 아저씨로!
그리고 드디어 노력이 결실을 맺어 입양 신청서를 받은 날.

“이제 정식으로 소개해야겠지.”

늘 쓰고 다니던 로브를 벗은 아저씨가 왜 저렇게 잘생겼지?
아저씨 방은 왜 귀족의 것처럼 휘황찬란하고, 우르르 들어와 무릎을 꿇는 사람들은 또 뭐고-

“…아저씨, 누구세요?”

#스파이여주 #성장물 #가족물 #육아물 #오해/복수 #사이다 #인외존재남주"
W014,14,버려진 악녀가 이참에 다 가짐,참새대리,Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"명문가의 폐급 악녀에 빙의했다.
가족한테 착취당하고, 여주를 위해 버림받는 악녀!

‘튄다. 나 없이 잘해 봐라, 이것들아.’

그런데 걸렸다.
전쟁을 일으킬 미인 악당 황자한테.

""당신한테 각인해 버렸잖아요. 우리 이제 어떡할 거야.""

일단 네가 일으킬 전쟁부터 막을 것이다.
내 작고 소중하고 소박한 노후를 위해서.

* * *

알 수가 없네.
난 최소한만 하는데 돈, 명예, 인맥이 자꾸 들어온다.
그리고 이 여우 같은 악당은 또 왜 이럴까.

""당신 없으면 안 되는 몸으로 만들고서 어딜 가요.""

혼자 잘 살겠다는 게 이렇게 힘든 일인가?"
W015,15,장녀는 꽃길을 걷는다,루시,Completed (완결),2026. 04. 22,Kakaopage,Montly Ranking,"아들을 원했던 부모에게 장녀란 쓸모 있지도, 사랑스럽지도 않은 존재였다.
틸로드 가문의 장녀로 태어나 언제나 희생을 강요당한 라디스.

“너는 틸로드 가문의 장녀야. 집안의 기둥인 남동생의 미래를 위해 노력하는 것이 당연하잖니?”
“원래 장녀는 살림 밑천이라잖니?”
“데이빗 대신 마물 사냥을 가렴. 결혼도 못 한 딸이 계속 집에 머무는 건 집안의 수치이지만, 네가 그렇게 한다면 계속 이 집에 있도록 허락해 주마.”

자신의 자리를 만들기 위해, 한 조각의 사랑이라도 얻기 위해 노력했다.
계속 견디다 보면 언젠가는 행복이 올 거라고 믿었다.

그러나 온몸이 부서지도록 노력한 끝에 돌아온 것은 결국 가족들의 배신이었다.

“다 헛된 꿈이었어. 부모님을 위해, 동생들을 위해, 가족을 위해, 가문을 위해 살지 말았어야 했어. 나를 위해 살았어야 했어!”

끝이라 여겼던 마지막 순간.

라디스는 16살로 회귀했다."
W016,16,악녀가 정체를 숨겼더니 다들 착각함,멧쥐,Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"[축하드립니다! <자유도> 스탯이 생성되었습니다.]

100번째 회귀를 달성하자, 그간 보이지 않던 상태창이 나타났다.
무려 99회차 동안 마음대로 할 수 있는 게 없어 악녀로 살다 죽었는데, 이제 와 퀘스트를 해결해 스탯을 쌓으면 자유롭게 살 수 있다고?

[제한 조건: 신분을 들킬 시 보상 50% 감소]

이때 악녀가 취해야 할 올바른 행동은?
1. 그냥 하던 대로 접시 브레이커 악녀 되기
2. 아무도 모르게 퀘스트 해결하며 스탯 획득하기

“흑, 정말 감사합니다! 제 평생의 은인이셔요!”
“동생 입학금을 내주시다니요!”

…아니, 내가 한 일인 걸 대체 어떻게 안 거야?

[칭호 <겉바속촉 공녀님>을(를) 획득하셨습니다.]

그렇게 난 제국에서 제일가는 착한 악녀가 되었다.
이런 걸 원한 건 아닌데... 아무튼 심기일전하여 열심히 스탯을 쌓는 도중 떨어진 메인 퀘스트.

[2황자 ‘라키엘 베른하르트’를 황제로 옹립하십시오.]
 
일이 점점 커지지만 이겨낸다!
나는 정신력 스탯 3,259(S++)의 보유자니까!

그런데.

“도대체 나한테 무슨 짓을 한 거지?”
“…네? 제가 뭘요?”
“젠장, 미치겠군. 스토커도 아니고... 빨리 오기나 하도록. 집으로 데려다 줄 테니.”
“네에에?”

엑스트라인 줄 알았던 2황자가 자꾸만 들러붙는다."
W017,17,"대공님, 아내 덕질을 멈춰 주세요!",랭브,Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"“대공 전하는…… 아내 중독증 말기이십니다.”
“헛소리.”
“심각하군요. 이대로라면 아내 바보, 아니 아내 등신이 되고 말 겁니다.”

* * *

“저를 사랑하지 않는다는 조건으로 결혼을 해 주세요.”
괴물 대공과 계약 결혼했다.
그런데…….

“이상하군. 넌 어떻게 머리카락 한 올까지 귀여울 수가 있는 거지?”

그가 나를 열렬히 덕질하기 시작했다.

“왜. 뭐가 문제야. 사랑하지만 않으면 된다며.”

아무래도 계약 조건을 잘못 정한 것 같다.

#계약결혼 #선결혼후연애 #초월적존재 #운명적사랑 #다정남 #직진남"
W018,18,세상이 날 시한부로 착각한다,연해솜,Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"결혼식 당일, 이곳이 책 속 세계인 걸 깨달았다.
덤으로 내 미래가 사망 엔딩인 것도.
살기 위해 망해가는 시댁을 열심히 뜯어고쳤더니 대공가 사람들이 거하게 착각을 시작했다.

“우리 새아가, 항상 몸조심, 또 몸조심해야 한다. 알겠니?”

저, 시한부 아닌데요?
각혈하는 아픈 몸으로도 시댁을 살리기 위해 고군분투하는 며느리…… 아닌데요?!

“부인, 잘못했어요.”
“절 버리고 가지 마세요. 제가 잘 할게요.”

게다가 남편 슈벨까지 이상해졌다.
우리 쇼윈도 부부 아니었어? 왜 이러는데?

“……부인, 지금 제 앞에서 다른 남자를 칭찬하신 건가요?”

아니, 그놈이 너잖아! 왜 본인을 질투하는 거냐고!

#로코 #착각계 #청순가련(X), 청순가증(O)
#재벌상단주여주 #내숭도련님남주"
W019,19,짝사랑이 너무 재밌어서 곤란하다,여로은,Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"""나는 그대를 사랑할 생각이 없다.""
""넵넵, 알겠습니다!""

결혼 첫날 밤, 미친 통제광이라는 '괴물 대공' 남편에게 깔끔하게 차였다.
하지만? 상관 없다.

“그런데 전 계속 좋아할게요!”

짝사랑의 3대 적폐 '민폐, 피해, 스토킹' 3종 세트 없이!
나 혼자 '즐겁고 유익하게' 좋아하겠어!

그렇게 짝사랑도 즐기고, 건축 능력으로 북부를 재건하면서, 민심까지 덤으로 얻어 버렸더니... 

남편이 이상해졌다?

***

""도망칠 생각이면 지금 가. 더 이상은 나도 못 멈춰.""
독점욕이 가득한 눈빛에, 여차하면 감금이라도 할 기세였다.
뭐야?!
이건, 너무...
'좋은데?'
도망? 죽어도 안 가겠습니다!

#그런데 실수로 도망감

#로맨스코미디 #철벽남주X햇살여주 #계약결혼 #선결혼후연애 #능력여주 #영지재건물 #관계역전"
W020,20,겨울잠에서 깨어나니 남편이 생겼다,미르윤,Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"[볼티어 백작가 하인 모집]
성별 및 나이 무관. 신체가 건강하고 튼튼한 이를 선호.

겨울잠을 자기 전 생활비를 벌기 위해
백작가 하녀로 취직한 불곰 수인 클레어.

도련님의 광증을 포함한 집안 문제를
무력(?)으로 평정하는 등 열일했으나,
어디까지나 꿀잠을 위한 전초전이었다.
그런데 늘어지게 자고 일어났더니······.

“있지, 클레어. 결혼식은 언제가 좋아?”

이게 그 병약했던 도련님?

벌어진 셔츠 사이로 보이는 잔뜩 성난 근육에
클레어는 마른침을 삼키며 슬그머니 눈을 피했다."
W021,21,제가 죽어도 울어 주실까요?,한래아,Still on (연재),2026. 04. 22,Kakaopage,Montly Ranking,"죽지 않는 마법 때문에 괴물 취급받으며 실험체로 살아온 1호(4세).
네 살이 되던 해, 결국 쓸모가 없다며 적대 가문 한복판에 버려지고 말았다.

그래서 배운 대로 적대 가문 사람들을 악마라고 부르며 공격했는데…….
악마들의 반응이 무언가 이상하다?

괴물이라고 하지도 않고, 아가라고 부르며 사랑해 주고, 많은 것을 가르쳐 준다.
심지어 괴물이 좀 다친 것 가지고, 몇 번이고 울어 주어서.

1호는 그들과 가족이 되고 싶어졌다.
그래서 정말로 깨어나지 못하는 죽음을 맞이했을 때,
그들이 자신을 위해서도 슬퍼해 줬으면 좋겠다고 생각했었는데.

""나, 돌아왔어요.""

정말로 가족이 되고 나니, 생각이 바뀌었다.
다시는 그렇게 우는 것을 보고 싶지 않다고.

함께 행복해지고 싶다고."
W022,22,눈먼 공작과 약혼했다,콩작,Completed (완결),2026. 04. 22,Kakaopage,Montly Ranking,"“돈이 필요해.”

가문이 폭삭 망해 버렸다.
오로지 돈을 벌기 위해 소설 속 남자 주인공인 눈먼 공작의 보좌로 들어갔는데…….

“공작 성의 생활은 어떻지?”
“공작 각하의 큰 배려로 아주 편안하게 잘 지내고 있습니다.”
“여기서 사는 게 좋다고? 그럼 약혼하지.”

아니, 공작 성에서 사는 게 좋은 거랑 약혼이랑 무슨 상관이 있는 건데?

“축하해. 앞으로도 계속 좋아하는 곳에서 지낼 수 있게 됐어.”
“혹시, 만에 하나, 저한테 거부권이 있을까요?”

마린은 떨리는 눈동자로 아주 조심스럽게 질문했다.
있었으면 좋겠다. 제발.

#돈이 필요해 공작가에 취업한 여주 #눈이 멀어 성격 나빠진 공작 남주
#특별한 능력을 가진 여주 #하지만 도움을 마다하는 금쪽이 남주 #이에 굴하지 않는 여주 #그런 여주가 신경 쓰이는 남주
#계약 약혼 #티키타카 #힐링물 #구원물 #로맨틱코미디"
W023,23,이제 울어도 될까요?,유이란,Completed (완결),2026. 04. 22,Kakaopage,Montly Ranking,"형제를 죽이고 황위에 오른 클로이스.

그가 황제가 되려 했던 것은 개인의 욕심이 아닌 사랑하는 아내와 곧 태어날 아이를 위해서였다. 하지만 그의 노력도 헛되이 이기고 돌아온 그를 맞이한 것은 아내와 아이의 시체였다.

그로부터 7년 후.

그는 세상 어떤 일에도 감흥을 느낄 수 없었다.
그러하기에 7년만에 다시 열리는 영재원의 심사에도 관심을 두지 않았다.

한 장의 입학 신청서가 구겨져 바닥에 굴러다니는 것을 보기 전 까지는.

“입학 신청서인데 왜 버렸나?”
“그것이, 조건이 무척이나 모자란 자가 낸 서류라서…….”

제 아이를 영재원에 넣으려는 대신은 같잖은 변명을 대었다.
단지 구빈원의 아이라는 이유로 검토되지도 못한 채, 쓰레기처럼 내던져진 서류.

“이 아이의 입학을 허가한다.”

딱히 관심을 가져서가 아니었다.
그저 멋대로 행동하려 하는 대신들을 향한 경고였을 뿐.
그래서 제가 뽑은 아이의 이름조차도 기억하지 못했는데.

“저는 이비 앨든이라고 해요.”

아내와 딸의 무덤 앞에서 만난 아이는 언제나 그가 생각하던 제 딸의 모습을 하고 있었다."
